time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,load_voltage,load_current,test_voltage,test_current
0.01,-0.08,-0.12,0.01,0.07,0.00,47.81,0.00,47.91,-0.00
0.02,0.03,-0.23,0.04,0.07,0.00,47.82,0.00,47.90,-0.00
0.03,-0.12,-0.09,-0.12,0.07,0.00,47.82,0.00,47.90,0.00
0.03,-0.07,-0.14,-0.02,0.07,0.00,47.82,0.00,47.91,0.00
0.05,-0.03,-0.18,-0.05,0.07,0.00,47.83,0.00,47.90,0.00
0.06,0.01,-0.21,0.05,0.07,0.00,47.82,0.00,47.90,0.00
0.07,0.06,-0.27,0.12,0.07,0.00,47.81,0.00,47.91,-0.00
0.08,-0.10,-0.12,0.01,0.07,0.00,47.82,0.00,47.90,0.00
0.09,-0.16,-0.06,-0.05,0.07,0.00,47.82,0.00,47.90,0.00
0.10,-0.02,-0.20,0.02,0.07,0.00,47.83,0.00,47.90,0.00
0.11,-0.11,-0.31,0.05,0.14,0.00,47.82,0.00,47.91,0.00
0.11,-0.17,-0.25,-0.06,0.14,0.00,47.82,0.00,47.90,0.00
0.12,0.11,-0.52,0.09,0.14,0.00,47.82,0.00,47.91,0.00
0.14,0.06,-0.48,-0.16,0.14,0.00,47.83,0.00,47.90,0.00
0.15,-0.04,-0.40,-0.07,0.14,0.00,47.81,0.00,47.90,0.00
0.16,-0.02,-0.43,-0.07,0.14,0.00,47.82,0.00,47.91,0.00
0.16,0.04,-0.48,-0.03,0.14,0.00,47.83,0.00,47.90,0.00
0.17,0.06,-0.51,-0.09,0.14,0.00,47.82,0.01,47.91,0.00
0.19,0.08,-0.53,0.03,0.14,0.00,47.81,0.00,47.91,0.00
0.20,0.08,-0.55,0.06,0.14,0.00,47.82,0.01,47.90,0.00
0.21,0.03,-0.69,0.02,0.21,0.00,47.82,0.01,47.90,0.00
0.22,-0.01,-0.66,0.14,0.21,0.00,47.83,0.01,47.90,0.00
0.23,0.02,-0.70,0.01,0.21,0.00,47.82,0.01,47.90,0.00
0.24,-0.04,-0.65,0.02,0.21,0.00,47.81,0.01,47.91,0.00
0.24,-0.04,-0.66,0.04,0.21,0.00,47.83,0.01,47.91,0.00
0.25,-0.06,-0.65,0.03,0.21,0.00,47.82,0.01,47.90,0.00
0.26,-0.09,-0.63,0.00,0.21,0.00,47.82,0.01,47.91,0.00
0.28,-0.09,-0.64,0.06,0.21,0.00,47.82,0.01,47.90,0.00
0.28,0.09,-0.82,-0.02,0.21,0.00,47.82,0.01,47.91,0.00
0.30,0.10,-0.84,-0.04,0.21,0.00,47.83,0.01,47.91,0.00
0.31,-0.14,-0.81,-0.04,0.28,0.00,47.82,0.02,47.90,0.00
0.32,-0.04,-0.92,0.04,0.28,0.00,47.82,0.02,47.90,0.00
0.32,0.02,-0.98,-0.05,0.28,0.00,47.82,0.02,47.90,0.00
0.34,0.02,-0.99,0.16,0.28,0.00,47.82,0.02,47.90,0.00
0.35,-0.15,-0.85,0.09,0.28,0.00,47.83,0.02,47.91,0.00
0.35,-0.06,-0.94,-0.00,0.28,0.00,47.82,0.02,47.89,0.00
0.37,-0.06,-0.96,-0.06,0.28,0.00,47.81,0.02,47.90,0.00
0.37,-0.12,-0.91,0.15,0.28,-0.00,47.82,0.02,47.90,0.00
0.39,0.06,-1.10,-0.01,0.28,-0.00,47.82,0.02,47.90,0.00
0.40,0.08,-1.12,-0.05,0.28,-0.00,47.82,0.02,47.90,0.00
0.40,-0.01,-1.24,0.04,0.35,-0.00,47.82,0.03,47.90,0.00
0.42,-0.26,-1.02,0.17,0.35,-0.01,47.82,0.02,47.90,0.01
0.42,-0.24,-1.05,-0.00,0.35,-0.01,47.82,0.02,47.91,0.00
0.43,-0.26,-1.04,0.25,0.35,-0.01,47.83,0.03,47.91,0.01
0.45,-0.27,-1.05,0.05,0.35,-0.01,47.82,0.02,47.90,0.00
0.46,-0.48,-0.86,0.16,0.35,-0.02,47.82,0.02,47.90,0.01
0.47,-0.54,-0.81,0.04,0.35,-0.02,47.83,0.02,47.90,0.01
0.47,-0.89,-0.49,0.02,0.35,-0.02,47.81,0.01,47.90,0.00
0.48,-0.26,-1.08,0.04,0.35,-0.03,47.82,0.02,47.90,0.00
0.50,-0.21,-1.14,0.11,0.35,-0.03,47.81,0.03,47.90,0.00
0.50,-0.29,-1.08,0.03,0.42,-0.04,47.81,0.03,47.90,0.01
0.52,-0.69,-0.91,0.12,0.42,-0.04,47.82,0.02,47.91,0.01
0.53,-0.37,-1.21,0.25,0.42,-0.05,47.82,0.03,47.91,0.01
0.54,-0.53,-1.07,0.49,0.42,-0.06,47.83,0.03,47.90,0.01
0.55,-0.63,-0.99,0.70,0.42,-0.06,47.82,0.02,47.91,0.01
0.55,-0.87,-0.77,1.30,0.42,-0.06,47.81,0.02,47.90,0.01
0.57,-0.67,-0.96,2.14,0.42,-0.07,47.82,0.01,47.90,0.01
