time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,load_voltage,load_current,test_voltage,test_current
0.01,0.00,-0.28,0.21,0.13,-0.01,47.91,-0.00,47.87,0.00
0.02,0.06,-0.31,0.13,0.13,-0.01,47.91,0.00,47.86,0.00
0.03,-0.30,-0.12,0.14,0.13,-0.01,47.90,0.00,47.86,0.00
0.04,-0.05,-0.26,0.23,0.13,-0.01,47.89,0.00,47.87,0.00
0.05,-0.13,-0.22,0.23,0.13,-0.01,47.90,0.00,47.87,0.00
0.06,-0.08,-0.26,0.06,0.13,-0.01,47.90,0.00,47.86,0.00
0.07,-0.06,-0.27,0.01,0.13,-0.01,47.91,0.00,47.87,0.00
0.08,-0.02,-0.30,-0.20,0.13,-0.01,47.90,0.00,47.87,0.00
0.09,0.00,-0.31,0.07,0.13,-0.01,47.89,0.00,47.87,0.00
0.10,-0.12,-0.25,0.05,0.13,-0.01,47.91,0.00,47.86,0.00
0.11,-0.34,-0.41,0.21,0.26,-0.01,47.90,0.00,47.86,0.00
0.12,-0.50,-0.33,0.01,0.26,-0.01,47.91,0.00,47.87,0.00
0.13,-1.32,0.12,-0.12,0.26,-0.01,47.91,0.00,47.87,0.00
0.14,-0.09,-0.56,-0.00,0.26,-0.01,47.91,0.00,47.87,0.00
0.15,-0.13,-0.55,0.02,0.26,-0.01,47.91,0.01,47.87,0.00
0.16,-0.40,-0.41,-0.01,0.26,-0.01,47.91,0.01,47.87,0.00
0.17,-0.53,-0.34,0.02,0.26,-0.01,47.90,0.01,47.86,0.00
0.18,-0.34,-0.45,-0.33,0.26,-0.01,47.91,0.01,47.87,0.00
0.19,-0.58,-0.33,-0.02,0.26,-0.01,47.90,0.01,47.87,0.00
0.20,-1.03,-0.08,-0.28,0.26,-0.01,47.90,0.00,47.87,0.00
0.21,-0.48,-0.66,-0.02,0.39,-0.01,47.90,0.01,47.87,0.00
0.22,-1.87,0.09,0.10,0.39,-0.01,47.90,0.00,47.86,0.01
0.23,-1.50,-0.10,0.50,0.39,-0.01,47.90,0.00,47.86,0.00
0.24,-0.62,-0.59,0.10,0.39,-0.01,47.90,0.00,47.87,0.01
0.25,-0.34,-0.75,-0.21,0.39,-0.01,47.90,0.01,47.86,0.01
0.26,-1.88,0.08,-0.14,0.39,-0.01,47.90,0.00,47.86,0.01
0.27,-1.56,-0.09,-0.00,0.39,-0.01,47.91,0.00,47.86,0.01
0.28,-1.01,-0.39,0.39,0.39,-0.01,47.90,0.00,47.87,0.01
0.29,-0.59,-0.63,0.01,0.39,-0.01,47.90,0.00,47.87,0.01
0.30,-0.57,-0.65,0.12,0.39,-0.01,47.89,0.01,47.86,0.01
0.31,-1.87,-0.22,-0.06,0.52,-0.01,47.90,0.01,47.87,0.01
0.32,-1.98,-0.16,0.81,0.52,-0.01,47.90,0.00,47.87,0.01
0.33,-1.20,-0.58,1.56,0.52,-0.01,47.90,0.01,47.86,0.01
0.34,-1.93,-0.20,3.74,0.52,-0.01,47.90,0.01,47.86,0.01
0.35,-2.24,-0.02,5.03,0.52,-0.01,47.90,0.00,47.86,0.01
0.36,-1.91,-0.20,5.88,0.52,-0.01,47.91,0.00,47.86,0.02
0.37,-1.37,-0.50,6.78,0.52,-0.01,47.90,0.00,47.86,0.02
0.38,-1.71,-0.32,8.99,0.52,-0.01,47.90,0.01,47.86,0.02
0.39,-1.19,-0.61,10.07,0.52,-0.01,47.91,0.01,47.86,0.03
0.40,-3.05,0.41,8.83,0.52,-0.01,47.90,0.00,47.86,0.03
0.41,-4.22,0.79,7.52,0.65,-0.01,47.89,0.00,47.87,0.04
0.42,-3.39,0.35,3.57,0.65,-0.01,47.90,0.00,47.86,0.03
0.43,-2.84,0.06,0.79,0.65,-0.01,47.90,0.00,47.86,0.03
0.44,-1.35,-0.75,1.00,0.65,-0.01,47.91,0.00,47.86,0.02
0.45,-2.32,-0.23,0.75,0.65,-0.01,47.90,0.01,47.87,0.03
0.46,-2.52,-0.12,0.07,0.65,-0.01,47.90,0.00,47.87,0.02
0.47,-3.21,0.26,-0.15,0.65,-0.01,47.90,0.00,47.86,0.02
0.48,-2.23,-0.27,0.02,0.65,-0.01,47.91,0.00,47.86,0.02
0.49,-2.36,-0.21,0.37,0.65,0.08,47.91,0.00,47.87,0.02
0.50,-2.50,-0.13,0.13,0.65,0.08,47.90,0.00,47.87,0.02
0.51,-1.92,-0.72,0.07,0.78,0.10,47.90,0.01,47.86,0.02
0.51,-2.07,-0.65,0.62,0.78,0.10,47.91,0.01,47.86,0.02
0.52,-2.73,-0.30,1.18,0.78,0.10,47.90,0.01,47.87,0.02
0.53,-3.91,0.35,4.52,0.78,0.10,47.91,0.00,47.86,0.03
0.54,-2.80,-0.25,7.96,0.78,0.10,47.90,0.00,47.87,0.03
0.55,-2.34,-0.51,10.53,0.78,0.10,47.89,0.00,47.86,0.03
0.56,-3.65,0.20,10.66,0.78,0.10,47.90,0.00,47.86,0.05
0.57,-5.46,1.20,8.65,0.78,0.11,47.90,0.00,47.88,0.06
0.58,-5.39,1.19,3.21,0.78,0.12,47.90,0.02,47.86,0.04
0.59,-3.12,-0.03,-0.23,0.78,0.14,47.89,0.01,47.87,0.04
0.60,-2.26,-0.50,-0.25,0.91,0.17,47.91,0.00,47.86,0.03
0.61,-3.32,-0.20,0.42,0.91,0.20,47.90,0.00,47.86,0.04
0.62,-3.28,-0.22,0.93,0.91,0.20,47.91,-0.00,47.87,0.03
0.63,-3.46,-0.12,4.84,0.91,0.20,47.91,0.00,47.86,0.03
0.64,-3.82,0.07,7.73,0.91,0.19,47.89,0.00,47.87,0.04
0.65,-4.73,0.57,7.77,0.91,0.17,47.90,-0.00,47.86,0.05
0.66,-5.02,0.75,6.46,0.91,0.16,47.91,0.00,47.87,0.04
0.67,-4.49,0.47,3.82,0.91,0.16,47.91,0.00,47.87,0.05
0.68,-4.02,0.22,1.90,0.91,0.18,47.90,0.00,47.86,0.05
0.69,-4.27,0.37,1.23,0.91,0.21,47.89,0.00,47.86,0.04
0.70,-3.41,-0.10,2.98,0.91,0.24,47.91,-0.00,47.86,0.04
0.71,-2.98,-0.61,4.72,1.04,0.24,47.90,0.00,47.86,0.05
0.72,-4.91,0.44,4.51,1.04,0.27,47.90,0.00,47.86,0.05
0.73,-5.54,0.80,7.11,1.04,0.29,47.91,0.00,47.86,0.05
0.74,-4.72,0.36,5.98,1.04,0.32,47.90,0.00,47.87,0.06
0.75,-4.76,0.39,4.13,1.04,0.34,47.91,0.00,47.86,0.07
0.76,-5.91,1.03,2.89,1.04,0.37,47.91,0.01,47.86,0.05
0.77,-4.06,0.03,4.52,1.04,0.40,47.90,0.00,47.87,0.05
0.78,-3.59,-0.23,4.78,1.04,0.40,47.90,-0.00,47.87,0.06
0.79,-4.86,0.46,3.38,1.04,0.43,47.90,-0.00,47.87,0.05
0.81,-4.98,0.55,3.20,1.04,0.44,47.90,0.00,47.87,0.05
0.81,-3.97,-0.28,4.55,1.17,0.43,47.91,-0.00,47.87,0.05
0.82,-4.57,0.04,4.98,1.17,0.43,47.89,-0.00,47.87,0.06
0.83,-6.40,1.05,6.58,1.17,0.44,47.89,0.00,47.87,0.07
0.84,-4.90,0.25,5.65,1.17,0.46,47.90,0.00,47.86,0.08
0.85,-5.02,0.33,5.75,1.17,0.50,47.89,0.00,47.87,0.07
0.86,-4.74,0.18,2.62,1.17,0.50,47.91,0.00,47.87,0.06
0.87,-4.20,-0.11,4.01,1.17,0.52,47.91,-0.00,47.86,0.05
0.88,-4.40,-0.01,5.98,1.17,0.54,47.90,0.00,47.86,0.06
0.89,-5.97,0.86,5.19,1.17,0.54,47.90,0.00,47.86,0.06
0.90,-5.15,0.42,4.43,1.17,0.53,47.89,0.00,47.87,0.06
0.91,-5.44,0.31,6.95,1.30,0.53,47.90,0.00,47.87,0.05
0.92,-5.94,0.59,7.97,1.30,0.54,47.91,0.00,47.86,0.07
0.93,-5.92,0.59,7.14,1.30,0.54,47.89,0.00,47.87,0.07
0.94,-5.75,0.51,4.13,1.30,0.55,47.91,0.00,47.87,0.06
0.95,-4.61,-0.11,5.97,1.30,0.57,47.90,-0.00,47.86,0.06
0.96,-4.61,-0.11,5.94,1.30,0.58,47.90,-0.00,47.86,0.06
0.97,-7.49,1.47,6.09,1.30,0.58,47.90,0.01,47.87,0.07
0.98,-5.41,0.35,5.34,1.30,0.58,47.92,0.01,47.87,0.07
0.99,-4.91,0.08,4.90,1.30,0.59,47.90,0.00,47.87,0.08
1.00,-6.67,1.05,5.54,1.30,0.60,47.90,0.01,47.87,0.07
1.01,-4.80,-0.23,4.45,1.43,0.60,47.91,0.00,47.86,0.08
