iter,gearRatio,module1,module2,Ns1,Np1,Nr1,numPlanet1,Ns2,Np2,Nr2,numPlanet2,fwSun1MM,fwPlanet1MM,fwRing1MM,fwSun2MM,fwPlanet2MM,fwRing2MM,mass,eff,peakTorque,Cost,Torque_Density,Outer_Bearing_mass_stg1,Outer_Bearing_mass_stg2,Actuator_width
7,6.998939554612938,0.5,0.5,82,28,138,4,92,28,148,3,1.873,8.0,8.0,5.869,8.0,8.0,1.055,0.929,16.13,2.3968831573856804,15.28909952606635,0.128,0.134,95.0
15,7.960199004975124,0.5,0.5,67,29,125,3,72,28,128,4,3.148,8.0,8.0,6.244,8.0,8.0,0.91,0.926,18.345,2.2577695520571113,20.159340659340657,0.103,0.103,95.0
11,8.933002481389579,0.5,0.5,52,28,108,4,62,28,118,4,3.161,8.0,8.0,7.952,8.0,8.0,0.791,0.921,20.587,2.148107075478584,26.02654867256637,0.05,0.081,91.0
15,9.058064516129033,0.5,0.5,50,28,106,3,62,28,118,4,4.413,8.0,8.0,8.064,8.064,8.064,0.788,0.921,20.875,2.158341069914128,26.491116751269033,0.05,0.081,91.0636744861659
20,10.038260869565217,0.5,0.6,50,28,106,3,46,28,102,4,4.413,8.0,8.0,7.916,8.0,8.0,0.793,0.918,23.134,2.1578583458399825,29.17276166456494,0.05,0.081,91.0
59,11.71171171171171,0.5,0.5,37,41,119,3,72,28,128,5,6.235,8.0,8.0,7.349,8.0,8.0,0.844,0.926,26.99,2.1924047304788736,31.97867298578199,0.05,0.103,92.0
59,12.745098039215685,0.5,0.5,34,44,122,3,72,28,128,5,6.929,8.0,8.0,7.997,8.0,8.0,0.842,0.925,29.372,2.191680547402143,34.88361045130642,0.05,0.103,92.0
57,13.0,0.5,0.7,40,38,116,3,42,28,98,4,5.673,8.0,8.0,8.122,8.122,8.122,0.855,0.92,29.959,2.239712376500602,35.03976608187134,0.05,0.103,92.12221060988983
51,14.114285714285714,0.5,0.7,35,43,121,3,48,28,104,4,6.681,8.0,8.0,7.897,8.0,8.0,0.907,0.921,32.527,2.264431772860484,35.86218302094818,0.05,0.128,92.0
53,15.052631578947368,0.5,0.8,36,42,120,3,38,28,94,4,6.45,8.0,8.0,7.834,8.0,8.0,0.916,0.918,34.69,2.2792827639210698,37.8711790393013,0.05,0.128,92.0
43,16.072727272727274,0.5,0.8,33,45,123,3,40,28,96,4,7.197,8.0,8.0,8.01,8.01,8.01,0.92,0.918,37.041,2.2854308064913456,40.26195652173912,0.05,0.128,92.00957753966705
41,17.045454545454547,0.5,0.9,33,42,117,3,32,28,88,4,7.224,8.0,8.0,8.119,8.119,8.119,0.934,0.914,39.282,2.3295585900309055,42.05781584582441,0.05,0.128,92.11914436138393
48,18.333333333333336,0.6,0.9,27,39,105,3,32,28,88,4,6.593,8.0,8.0,8.733,8.733,8.733,0.937,0.909,42.25,2.4658556516008097,45.09071504802561,0.05,0.128,92.73259082424406
38,19.09090909090909,0.5,0.9,33,51,135,3,32,28,88,4,7.151,8.0,8.0,9.093,9.093,9.093,0.999,0.917,43.996,2.5849625158799157,44.04004004004004,0.081,0.128,95.09344168475
33,20.0,0.6,0.9,27,45,117,3,32,28,88,4,6.54,8.0,8.0,9.526,9.526,9.526,1.009,0.911,46.091,2.692414692199521,45.679881070366704,0.081,0.128,95.52646271735713
24,21.136363636363637,0.5,0.9,33,60,153,3,32,28,88,4,7.096,8.0,8.0,10.068,10.068,10.068,1.058,0.918,48.71,2.835130253719398,46.03969754253308,0.103,0.128,97.06773900811608
38,22.0472049689441,0.5,1.0,35,52,139,3,23,28,79,3,6.615,8.0,8.0,15.012,15.012,15.012,1.038,0.911,50.809,3.818231903621352,48.948940269749514,0.081,0.128,101.01183891492697
32,23.137996219281664,0.7,1.0,23,37,97,3,23,28,79,3,6.051,8.0,8.0,15.755,15.755,15.755,1.04,0.898,53.323,3.9954628791763005,51.27211538461538,0.081,0.128,101.75455358388137
29,24.1897233201581,0.5,1.0,33,57,147,3,23,28,79,3,7.113,8.0,8.0,16.471,16.471,16.471,1.059,0.911,55.747,4.130506645127672,52.641170915958455,0.081,0.128,102.47066965587598
34,25.043478260869566,0.5,1.0,34,62,158,3,23,28,79,3,6.814,8.0,8.0,17.052,17.052,17.052,1.106,0.912,57.714,4.29134088980932,52.182640144665456,0.103,0.128,104.0519874084363
25,26.13223140495868,0.5,1.0,33,60,153,3,22,29,80,3,7.096,8.0,8.0,18.048,18.048,18.048,1.114,0.911,60.223,4.500962403849757,54.06014362657091,0.103,0.128,105.04843053250957
