Gear Ratio,Mass Model Python,Bearing Mass,Mass Solidworks without bearing,Mass Solidworks,Mass Difference
4.058,0.498,0.038,0.444,0.482,0.016
4.181,0.498,0.038,0.444,0.482,0.016
4.258,0.499,0.038,0.444,0.482,0.017
4.312,0.497,0.038,0.443,0.481,0.016
4.451,0.497,0.038,0.443,0.481,0.016
4.588,0.511,0.05,0.456,0.506,0.005
4.687,0.513,0.05,0.457,0.507,0.006
4.727,0.511,0.05,0.457,0.507,0.004
4.875,0.51,0.05,0.456,0.506,0.004
4.956,0.514,0.05,0.459,0.509,0.005
5.032,0.512,0.05,0.457,0.507,0.005
5.181,0.516,0.05,0.461,0.511,0.005
5.25,0.512,0.05,0.456,0.506,0.006
5.368,0.515,0.05,0.457,0.507,0.008
5.4,0.511,0.05,0.456,0.506,0.005
5.5,0.517,0.05,0.461,0.511,0.006
5.684,0.512,0.05,0.457,0.507,0.005
5.7,0.519,0.05,0.463,0.513,0.006
5.806,0.593,0.081,0.505,0.586,0.007
6,0.521,0.05,0.464,0.514,0.007
6.25,0.596,0.081,0.507,0.588,0.008
6.315,0.593,0.081,0.497,0.578,0.015
6.413,0.648,0.103,0.539,0.642,0.006
6.521,0.599,0.081,0.508,0.589,0.01
6.631,0.595,0.081,0.505,0.586,0.009
6.782,0.649,0.103,0.538,0.641,0.008
6.818,0.604,0.081,0.513,0.594,0.01
6.947,0.648,0.103,0.537,0.64,0.008
7,0.6,0.081,0.509,0.59,0.01
7.142,0.61,0.081,0.519,0.6,0.01
7.2,0.619,0.081,0.527,0.608,0.011
7.333,0.652,0.103,0.541,0.644,0.008
