Gear Ratio,Mass Model Python,Bearing Mass,Mass Solidworks without bearing,Mass Solidworks,Mass Difference
4,0.516,0.05,0.463,0.513,0.003
5.165289,0.627,0.103,0.515,0.618,0.009
6.58,0.707,0.134,0.572,0.706,0.001
7.230392,0.698,0.128,0.57,0.698,0
8.077381,0.702,0.128,0.574,0.702,0
9.086022,0.721,0.128,0.593,0.721,0
10.19388,0.736,0.128,0.614,0.742,-0.006
11.02604,0.755,0.128,0.629,0.757,-0.002
12.14286,0.78,0.128,0.663,0.791,-0.011
13.22222,0.807,0.128,0.683,0.811,-0.004
14,0.815,0.128,0.696,0.824,-0.009
15.31548,0.787,0.103,0.681,0.784,0.003
16.51786,0.834,0.103,0.73,0.833,0.001
17.73399,0.853,0.103,0.754,0.857,-0.004
