Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 90.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 45.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, PSCs, PSCp1, PSCp2, PSCr, CD_SP, CD_PR, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density
101 , 4.0 , 0.5 , 0.5 , 40 , 40 , 40 , 120 , 4 , 4.242 , 4.242 , 3.785 , 3.785 , 0 , 0 , 0 , 0 , 20.0 , 20.0 , 0.46 , 0.963 , 9.218 , 0.13961740756987218 , [86.42113409889917, 86.42113409889919] , 20.039
108 , 5.1652892561983474 , 0.5 , 0.5 , 44 , 56 , 44 , 144 , 4 , 3.707 , 3.707 , 4.316 , 4.316 , 0 , 0 , 0 , 0 , 25.0 , 25.0 , 0.554 , 0.965 , 11.904 , 0.22846716657745558 , [78.56466736263562, 99.99139482517262] , 21.487
93 , 6.58 , 0.6 , 0.6 , 40 , 54 , 30 , 124 , 4 , 2.9 , 2.9 , 5.155 , 5.155 , 0 , 0 , 0 , 0 , 28.2 , 28.2 , 0.62 , 0.955 , 15.164 , 0.3205022099608519 , [72.01761174908265, 129.63170114834878] , 24.458
77 , 7.230392156862743 , 0.9 , 0.9 , 18 , 41 , 34 , 93 , 3 , 5.093 , 5.093 , 4.304 , 4.304 , 0 , 0 , 0 , 0 , 26.55 , 26.55 , 0.611 , 0.941 , 16.663 , 0.6087207984234704 , [142.25701086238547, 171.5452189811119] , 27.272
71 , 8.07738095238095 , 0.9 , 0.9 , 18 , 41 , 28 , 87 , 3 , 5.093 , 5.093 , 5.541 , 5.541 , 0 , 0 , 0 , 0 , 26.55 , 26.55 , 0.614 , 0.936 , 18.615 , 0.8689641025179966 , [142.25701086238547, 208.30490876277875] , 30.318
56 , 9.086021505376344 , 0.8 , 0.8 , 18 , 47 , 31 , 96 , 3 , 6.396 , 6.396 , 7.064 , 7.064 , 0 , 0 , 0 , 0 , 26.0 , 26.0 , 0.627 , 0.938 , 20.939 , 1.4433571778926138 , [160.03913722018365, 242.6399822370527] , 33.396
46 , 10.193877551020407 , 0.7 , 0.7 , 21 , 53 , 28 , 102 , 3 , 6.72 , 6.72 , 10.253 , 10.253 , 0 , 0 , 0 , 0 , 25.9 , 25.9 , 0.638 , 0.939 , 23.492 , 2.153916429595138 , [156.77303237895543, 296.74895414587985] , 36.821
30 , 11.02604166666667 , 0.7 , 0.7 , 18 , 55 , 32 , 105 , 3 , 8.286 , 8.286 , 10.407 , 10.407 , 0 , 0 , 0 , 0 , 25.549999999999997 , 25.549999999999997 , 0.652 , 0.938 , 25.41 , 2.5142065381720977 , [182.90187110878134, 314.3625909682179] , 38.972
21 , 12.142857142857142 , 0.6 , 0.6 , 21 , 64 , 32 , 117 , 3 , 9.066 , 9.066 , 14.207 , 14.207 , 0 , 0 , 0 , 0 , 25.5 , 25.5 , 0.669 , 0.942 , 27.984 , 3.4392827115378237 , [182.90187110878134, 365.8037422175626] , 41.83
19 , 13.222222222222225 , 0.6 , 0.6 , 18 , 66 , 36 , 120 , 3 , 11.182 , 11.182 , 14.681 , 14.681 , 0 , 0 , 0 , 0 , 25.2 , 25.2 , 0.689 , 0.94 , 30.471 , 3.9809624615558437 , [213.38551629357823, 391.2067798715602] , 44.225
14 , 14.000000000000002 , 0.6 , 0.6 , 18 , 66 , 33 , 117 , 3 , 11.182 , 11.182 , 16.415 , 16.415 , 0 , 0 , 0 , 0 , 25.2 , 25.2 , 0.694 , 0.938 , 32.264 , 4.337621817068518 , [213.38551629357823, 426.7710325871564] , 46.49
9 , 15.31547619047619 , 0.6 , 0.6 , 18 , 65 , 28 , 111 , 3 , 11.19 , 11.19 , 20.06 , 20.06 , 0 , 0 , 0 , 0 , 24.9 , 24.9 , 0.667 , 0.934 , 35.295 , 5.049479451971669 , [213.38551629357823, 495.35923425294936] , 52.916
4 , 16.517857142857142 , 0.5 , 0.5 , 21 , 79 , 32 , 132 , 3 , 12.942 , 12.942 , 25.385 , 25.385 , 0 , 0 , 0 , 0 , 25.0 , 25.0 , 0.701 , 0.942 , 38.066 , 6.4833382018624635 , [219.48224533053758, 541.8467931597646] , 54.302
2 , 17.733990147783253 , 0.5 , 0.5 , 21 , 79 , 29 , 129 , 3 , 12.942 , 12.942 , 28.907 , 28.907 , 0 , 0 , 0 , 0 , 25.0 , 25.0 , 0.714 , 0.939 , 40.869 , 7.2058431585773235 , [219.48224533053758, 597.8999096935333] , 57.239


Running Time (sec)
288.46922731399536
