Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 80.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 60 , 0.5
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
16 , 4.451612903225806 , 0.5 , 31 , 38 , 107 , 3 , 7.894 , 8.0 , 8.0 , 0.497 , 0.957 , 10.259 , 0.18182626014811354 , 20.64185110663984 , 0.038 , 63.0
18 , 4.7272727272727275 , 0.5 , 33 , 45 , 123 , 3 , 7.197 , 8.0 , 8.0 , 0.511 , 0.961 , 10.894 , 0.18814688062484852 , 21.31898238747554 , 0.05 , 63.0
12 , 5.032258064516129 , 0.5 , 31 , 47 , 125 , 3 , 7.801 , 8.0 , 8.0 , 0.512 , 0.961 , 11.597 , 0.19008387010493943 , 22.650390625 , 0.05 , 63.0
12 , 5.5 , 0.6 , 24 , 42 , 108 , 3 , 7.71 , 8.0 , 8.0 , 0.517 , 0.953 , 12.675 , 0.21005651110745127 , 24.516441005802708 , 0.05 , 63.0
8 , 6.0 , 0.7 , 19 , 38 , 95 , 3 , 7.854 , 8.0 , 8.0 , 0.521 , 0.946 , 13.827 , 0.23017770699216333 , 26.539347408829173 , 0.05 , 63.0
7 , 6.631578947368421 , 0.7 , 19 , 44 , 107 , 3 , 7.786 , 8.0 , 8.0 , 0.595 , 0.948 , 15.283 , 0.2998073631705389 , 25.685714285714287 , 0.081 , 65.0
4 , 7.0 , 0.7 , 18 , 45 , 108 , 3 , 8.374 , 8.374 , 8.374 , 0.6 , 0.946 , 16.132 , 0.382188444945333 , 26.88666666666667 , 0.081 , 65.37410118872452


Running Time (sec)
5.375239133834839
