Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
7200 , 753.9822368615503 , 2.304563575970645 , 1725 , 0.257 , 72 , 27
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 80.0 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4 , 60 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, PSCs, PSCp1, PSCp2, PSCr1, PSCr2,fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, torque_density
3 , 10.5 , 0.5 , 0.5 , 64 , 48 , 28 , 160 , 140 , 4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.416 , 8.741 , 12.704 , 8.741 , 12.704 , 0.567 , 0.905 , 24.198 , 3.046334743203665 , 42.677
4 , 11.666666666666666 , 0.5 , 0.5 , 60 , 50 , 30 , 160 , 140 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.076 , 7.796 , 11.03 , 7.796 , 11.03 , 0.561 , 0.904 , 26.887 , 2.5183434070252724 , 47.927
6 , 12.428571428571429 , 0.5 , 0.5 , 70 , 45 , 30 , 160 , 145 , 5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.751 , 8.517 , 11.36 , 8.517 , 11.36 , 0.577 , 0.882 , 28.642 , 2.7870171331654574 , 49.64
7 , 14.0 , 0.5 , 0.5 , 72 , 42 , 30 , 156 , 144 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.418 , 8.397 , 10.735 , 8.397 , 10.735 , 0.578 , 0.861 , 32.264 , 2.683328033667959 , 55.82
10 , 14.0 , 0.5 , 0.5 , 72 , 42 , 30 , 156 , 144 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.418 , 8.397 , 10.735 , 8.397 , 10.735 , 0.578 , 0.861 , 32.264 , 2.683328033667959 , 55.82
7 , 15.4 , 0.5 , 0.5 , 60 , 42 , 30 , 144 , 132 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.745 , 10.05 , 12.839 , 10.05 , 12.839 , 0.567 , 0.858 , 35.49 , 3.4293251564583 , 62.593
11 , 16.363636363636363 , 0.5 , 0.5 , 66 , 45 , 33 , 156 , 144 , 6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.561 , 9.778 , 12.168 , 9.778 , 12.168 , 0.592 , 0.859 , 37.711 , 3.2628869240793286 , 63.701
10 , 17.5 , 0.5 , 0.5 , 84 , 35 , 28 , 154 , 147 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.026 , 9.702 , 11.543 , 9.702 , 11.543 , 0.603 , 0.792 , 40.33 , 3.267819551966207 , 66.882
11 , 18.181818181818183 , 0.5 , 0.5 , 77 , 35 , 28 , 147 , 140 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.136 , 10.567 , 12.57 , 10.567 , 12.57 , 0.596 , 0.791 , 41.901 , 3.6420829963903034 , 70.304
13 , 20.0 , 0.6 , 0.6 , 63 , 35 , 28 , 133 , 126 , 7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.993 , 8.936 , 10.624 , 8.936 , 10.624 , 0.602 , 0.787 , 46.091 , 2.939121904449024 , 76.563
