Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4498.726406492016 , 471.1055276381909 , 3.184 , 1500 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 2.0 , Lewis , 130.2 , 400
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.8 , 1.0 , 0.8 , 1.0 , 3 , 7 , 20 , 28 , 28 , 4.0 , 15.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, PSCs, PSCp1, PSCp2, PSCr, CD_SP, CD_PR, mass, eff, peakTorque, Cost, tooth_forces_sp, tooth_forces_rp, Torque_Density
5 , 4.107142857142857 , 0.8 , 0.8 , 21 , 29 , 40 , 90 , 3 , 6.326 , 5.708 , 1.667 , 1.667 , 0 , 0 , 0 , 0 , 20.0 , 20.0 , 0.724 , 0.951 , 13.077 , -1.178 , [252.69841269841268, 183.20634920634922] , 18.062
6 , 5.0 , 0.8 , 0.8 , 21 , 35 , 40 , 96 , 3 , 6.326 , 5.467 , 2.012 , 2.012 , 0 , 0 , 0 , 0 , 22.400000000000002 , 22.400000000000002 , 0.773 , 0.95 , 15.92 , -1.1269999999999998 , [252.69841269841268, 221.11111111111111] , 20.595
5 , 6.223938223938226 , 0.8 , 0.8 , 21 , 41 , 37 , 99 , 3 , 6.326 , 5.309 , 2.584 , 2.584 , 0 , 0 , 0 , 0 , 24.8 , 24.8 , 0.812 , 0.947 , 19.817 , -1.0819999999999999 , [252.69841269841268, 280.01716001716] , 24.405
1 , 7.275510204081633 , 0.8 , 0.8 , 21 , 41 , 28 , 90 , 3 , 6.326 , 5.309 , 3.637 , 3.637 , 0 , 0 , 0 , 0 , 24.8 , 24.8 , 0.812 , 0.94 , 23.165 , -1.0679999999999998 , [252.69841269841268, 370.02267573696145] , 28.528
2 , 8.14746543778802 , 0.8 , 0.8 , 21 , 47 , 31 , 99 , 3 , 6.326 , 5.197 , 3.671 , 3.671 , 0 , 0 , 0 , 0 , 27.200000000000003 , 27.200000000000003 , 0.858 , 0.943 , 25.942 , -1.028 , [252.69841269841268, 383.12339989759346] , 30.235
3 , 9.125 , 0.8 , 0.8 , 21 , 52 , 32 , 105 , 3 , 6.326 , 5.126 , 3.906 , 3.906 , 0 , 0 , 0 , 0 , 29.200000000000003 , 29.200000000000003 , 0.89 , 0.943 , 29.054 , -0.9959999999999999 , [252.69841269841268, 410.63492063492055] , 32.645
1 , 10.193877551020408 , 0.8 , 0.8 , 21 , 53 , 28 , 102 , 3 , 6.326 , 5.114 , 4.702 , 4.702 , 0 , 0 , 0 , 0 , 29.6 , 29.6 , 0.894 , 0.939 , 32.457 , -0.9839999999999999 , [252.69841269841268, 478.3219954648526] , 36.305
1 , 11.0 , 0.8 , 0.8 , 21 , 56 , 28 , 105 , 3 , 6.326 , 5.08 , 4.968 , 4.968 , 0 , 0 , 0 , 0 , 30.8 , 30.8 , 0.93 , 0.939 , 35.024 , -0.9479999999999998 , [252.69841269841268, 505.39682539682536] , 37.66
1 , 12.118226600985222 , 0.8 , 0.8 , 21 , 61 , 29 , 111 , 3 , 6.326 , 5.031 , 5.177 , 5.177 , 0 , 0 , 0 , 0 , 32.800000000000004 , 32.800000000000004 , 0.96 , 0.94 , 38.584 , -0.9199999999999999 , [252.69841269841268, 531.5380405035577] , 40.192
2 , 13.25714285714286 , 0.8 , 0.8 , 21 , 66 , 30 , 117 , 3 , 6.326 , 4.99 , 5.369 , 5.369 , 0 , 0 , 0 , 0 , 34.800000000000004 , 34.800000000000004 , 0.978 , 0.941 , 42.211 , -0.9039999999999999 , [252.69841269841268, 555.936507936508] , 43.161
2 , 14.142857142857142 , 0.8 , 0.8 , 21 , 69 , 30 , 120 , 3 , 6.326 , 4.969 , 5.613 , 5.613 , 0 , 0 , 0 , 0 , 36.0 , 36.0 , 1.141 , 0.94 , 45.031 , -0.7389999999999999 , [252.69841269841268, 581.2063492063492] , 39.466


Running Time (sec)
21.184719800949097
