Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 3.437746770784939 , 1700 , 0.5 , 86.8 , 43
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 60 , 0.5
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
43 , 4.125 , 0.6 , 32 , 34 , 100 , 3 , 7.892 , 8.0 , 8.0 , 0.824 , 0.956 , 14.181 , 0.512464091206887 , 17.20995145631068 , 0.05 , 79.0
40 , 4.6875 , 0.6 , 32 , 43 , 118 , 3 , 7.784 , 8.0 , 8.0 , 0.866 , 0.96 , 16.114 , 0.5460762646727293 , 18.607390300230946 , 0.081 , 81.0
28 , 5.04 , 0.7 , 25 , 38 , 101 , 3 , 8.038 , 8.038 , 8.038 , 0.867 , 0.953 , 17.326 , 0.5688021565454591 , 19.9838523644752 , 0.081 , 81.0377220753014
26 , 5.666666666666667 , 0.8999999999999999 , 18 , 33 , 84 , 3 , 7.701 , 8.0 , 8.0 , 0.903 , 0.941 , 19.481 , 0.6202477048321261 , 21.573643410852714 , 0.103 , 82.0
18 , 6.0 , 0.7999999999999999 , 19 , 38 , 95 , 3 , 8.97 , 8.97 , 8.97 , 0.91 , 0.946 , 20.626 , 0.8126849926652203 , 22.665934065934067 , 0.103 , 82.96983964440133
9 , 6.631578947368421 , 0.7 , 19 , 44 , 107 , 3 , 11.615 , 11.615 , 11.615 , 0.889 , 0.948 , 22.798 , 1.3166725852683865 , 25.644544431946006 , 0.081 , 84.61502136032513
1 , 7.0 , 0.7 , 18 , 45 , 108 , 3 , 12.492 , 12.492 , 12.492 , 0.895 , 0.946 , 24.064 , 1.5009461533115673 , 26.887150837988827 , 0.081 , 85.49175315445096


Running Time (sec)
4.362638711929321
