Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
5760 , 603.1857894892403 , 7.559859796865029 , 4560 , 0.778 , 106.8 , 47.6
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 96.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 60 , 0.5
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
109 , 4.0 , 0.7999999999999999 , 31 , 31 , 93 , 4 , 7.683 , 8.0 , 8.0 , 1.279 , 0.953 , 30.239 , 0.9720233572671086 , 23.64268960125098 , 0.103 , 86.6
76 , 4.54054054054054 , 0.7 , 37 , 47 , 131 , 4 , 7.769 , 8.0 , 8.0 , 1.319 , 0.964 , 34.326 , 0.9911488978631304 , 26.024260803639123 , 0.134 , 86.6
64 , 5.052631578947368 , 1.2 , 19 , 29 , 77 , 3 , 8.924 , 8.924 , 8.924 , 1.315 , 0.94 , 38.197 , 1.2192180064591616 , 29.047148288973386 , 0.134 , 87.52395350309645
51 , 5.666666666666667 , 1.0999999999999999 , 18 , 33 , 84 , 3 , 11.337 , 11.337 , 11.337 , 1.34 , 0.941 , 42.839 , 1.7245120384748995 , 31.969402985074623 , 0.134 , 89.93712526150574
39 , 6.0 , 0.9999999999999999 , 19 , 38 , 95 , 3 , 12.624 , 12.624 , 12.624 , 1.35 , 0.946 , 45.359 , 1.9833146303909712 , 33.599259259259256 , 0.134 , 91.22421875878706
27 , 6.631578947368421 , 0.8999999999999999 , 19 , 44 , 107 , 3 , 15.452 , 15.452 , 15.452 , 1.378 , 0.948 , 50.134 , 2.57293890472146 , 36.38171262699565 , 0.134 , 94.05151018298852
21 , 7.2631578947368425 , 0.7999999999999999 , 19 , 50 , 119 , 3 , 19.42 , 19.42 , 19.42 , 1.422 , 0.949 , 54.908 , 3.4077252010690247 , 38.61322081575246 , 0.134 , 98.02030189881097
15 , 7.666666666666667 , 0.7999999999999999 , 18 , 51 , 120 , 3 , 20.89 , 20.89 , 20.89 , 1.438 , 0.948 , 57.959 , 3.7205876547154535 , 40.30528511821975 , 0.134 , 99.49041564944356
11 , 8.210526315789474 , 0.7 , 19 , 59 , 137 , 3 , 25.157 , 25.157 , 25.157 , 1.464 , 0.951 , 62.07 , 4.593157286495422 , 42.39754098360656 , 0.128 , 103.75742087799098
3 , 8.666666666666666 , 0.7 , 18 , 60 , 138 , 3 , 27.067 , 27.067 , 27.067 , 1.485 , 0.949 , 65.519 , 4.999829246286854 , 44.12053872053872 , 0.128 , 105.6674738594307


Running Time (sec)
10.37043309211731
