Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 2.291831180523293 , 750 , 0.24 , 86.8 , 26.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 86.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 28 , 4.0 , 20.0 , 1.0
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
95 , 4.0 , 0.6 , 0.6 , 32 , 32 , 32 , 96 , 4 , 3.961 , 4.0 , 4.0 , 4.0 , 0.527 , 0.955 , 9.167 , 0.21704807312159424 , 17.395 , 0.05 , 64.0
100 , 5.092592592592593 , 0.5 , 0.5 , 48 , 52 , 36 , 136 , 4 , 3.333 , 3.333 , 4.683 , 4.683 , 0.624 , 0.962 , 11.671 , 0.30280492168072604 , 18.704 , 0.103 , 67.01583154280637
83 , 6.0 , 0.9 , 0.9 , 21 , 35 , 28 , 84 , 3 , 4.139 , 4.139 , 4.021 , 4.021 , 0.66 , 0.941 , 13.751 , 0.4099622527120115 , 20.835 , 0.128 , 67.16048923665083
64 , 7.283333333333334 , 0.9 , 0.9 , 18 , 39 , 30 , 87 , 3 , 5.08 , 5.08 , 4.779 , 4.779 , 0.674 , 0.938 , 16.692 , 0.7694286937725483 , 24.766 , 0.128 , 68.85914874710497
63 , 8.272727272727272 , 0.8 , 0.8 , 18 , 45 , 33 , 96 , 3 , 6.376 , 6.376 , 6.194 , 6.194 , 0.692 , 0.94 , 18.96 , 1.326402212952715 , 27.399 , 0.128 , 71.57023915978539
46 , 9.17083333333333 , 0.7 , 0.7 , 18 , 53 , 40 , 111 , 3 , 8.255 , 8.255 , 7.511 , 7.511 , 0.677 , 0.943 , 21.018 , 1.9435561157046641 , 31.046 , 0.103 , 74.76665232259059
36 , 10.09313725490196 , 0.7 , 0.7 , 18 , 53 , 34 , 105 , 3 , 8.255 , 8.255 , 9.213 , 9.213 , 0.683 , 0.94 , 23.132 , 2.296820818246533 , 33.868 , 0.103 , 76.46807693311129
22 , 11.410714285714285 , 0.7 , 0.7 , 18 , 53 , 28 , 99 , 3 , 8.255 , 8.255 , 11.875 , 11.875 , 0.694 , 0.935 , 26.151 , 2.8506923357929463 , 37.682 , 0.103 , 79.13075318449134
18 , 12.118226600985224 , 0.6 , 0.6 , 21 , 61 , 29 , 111 , 3 , 9.035 , 9.035 , 15.309 , 15.309 , 0.716 , 0.94 , 27.773 , 3.705386827612486 , 38.789 , 0.103 , 83.34385149982265
14 , 13.090909090909088 , 0.6 , 0.6 , 18 , 63 , 33 , 114 , 3 , 11.144 , 11.144 , 15.563 , 15.563 , 0.738 , 0.938 , 30.002 , 4.203014635339944 , 40.653 , 0.103 , 85.70706362455493
7 , 14.285714285714283 , 0.6 , 0.6 , 18 , 62 , 28 , 108 , 3 , 11.152 , 11.152 , 19.001 , 19.001 , 0.753 , 0.934 , 32.74 , 4.915834582980489 , 43.479 , 0.103 , 89.1531639021816
4 , 15.589285714285714 , 0.5 , 0.5 , 21 , 76 , 32 , 129 , 3 , 12.89 , 12.89 , 24.264 , 24.264 , 0.796 , 0.942 , 35.728 , 6.343074910400577 , 44.884 , 0.103 , 96.15356159668964
2 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 12.897 , 12.897 , 26.057 , 26.057 , 0.804 , 0.94 , 36.669 , 6.714362872425281 , 45.608 , 0.103 , 97.95387322179633
