Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
4800 , 502.6548245743669 , 3.819718634205488 , 1900 , 0.713 , 89.4 , 45.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 79.4 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 60 , 0.5
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
49 , 4.071428571428571 , 0.7 , 28 , 29 , 86 , 3 , 7.787 , 8.0 , 8.0 , 1.074 , 0.95 , 15.552 , 0.7744933872906228 , 14.4804469273743 , 0.05 , 81.5
46 , 4.5 , 0.7 , 28 , 35 , 98 , 3 , 7.692 , 8.0 , 8.0 , 1.119 , 0.954 , 17.189 , 0.8111525860132602 , 15.361036639857016 , 0.081 , 83.5
33 , 5.111111111111111 , 0.7 , 27 , 42 , 111 , 3 , 7.994 , 8.0 , 8.0 , 1.15 , 0.956 , 19.523 , 0.8373151688215805 , 16.976521739130437 , 0.103 , 84.5
27 , 5.666666666666667 , 0.8999999999999999 , 18 , 33 , 84 , 3 , 8.557 , 8.557 , 8.557 , 1.157 , 0.941 , 21.645 , 0.9858714335801122 , 18.707865168539325 , 0.103 , 85.05698811160825
20 , 6.0 , 0.7999999999999999 , 19 , 38 , 95 , 3 , 9.966 , 9.966 , 9.966 , 1.168 , 0.946 , 22.918 , 1.2697651950636288 , 19.621575342465754 , 0.103 , 86.46648849377927
11 , 6.6 , 0.7 , 20 , 46 , 112 , 3 , 11.999 , 11.999 , 11.999 , 1.181 , 0.95 , 25.21 , 1.6808071991965694 , 21.346316680779 , 0.103 , 88.49893360524518
3 , 7.0 , 0.7 , 18 , 45 , 108 , 3 , 13.88 , 13.88 , 13.88 , 1.157 , 0.946 , 26.738 , 2.0404370419360642 , 23.109766637856524 , 0.081 , 89.37972572716772


Running Time (sec)
5.323976755142212
